model,accuracy,balanced_accuracy,precision_parasite,recall_parasite,f1_parasite,precision_tir,recall_tir,f1_tir,roc_auc,tn,fp,fn,tp
SVM(RBF),0.9054054054054054,0.7068376068376068,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.9264705882352942,0.9692307692307692,0.9473684210526315,0.48034188034188036,4,5,2,63
GradientBoosting,0.8108108108108109,0.5572649572649573,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8923076923076924,0.8923076923076924,0.8923076923076924,0.3196581196581197,2,7,7,58
RandomForest,0.8918918918918919,0.5555555555555556,1.0,0.1111111111111111,0.2,0.8904109589041096,1.0,0.9420289855072463,0.6068376068376069,1,8,0,65
LogisticRegression,0.6756756756756757,0.5282051282051282,0.14285714285714285,0.3333333333333333,0.2,0.8867924528301887,0.7230769230769231,0.7966101694915254,0.3384615384615385,3,6,18,47
DecisionTree,0.7432432432432432,0.5188034188034187,0.14285714285714285,0.2222222222222222,0.17391304347826086,0.8833333333333333,0.8153846153846154,0.848,0.5188034188034187,2,7,12,53
KNN(k=5),0.8783783783783784,0.5,0.0,0.0,0.0,0.8783783783783784,1.0,0.935251798561151,0.6452991452991453,0,9,0,65
