accuracy,balanced_accuracy,precision_parasite,recall_parasite,f1_parasite,roc_auc,C,gamma
0.918918918918919,0.7623931623931623,0.7142857142857143,0.5555555555555556,0.625,0.2222222222222222,0.1,scale
0.918918918918919,0.7623931623931623,0.7142857142857143,0.5555555555555556,0.625,0.2222222222222222,0.1,auto
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.0,0.1,0.05
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.2222222222222222,0.1,0.1
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.24957264957264957,0.5,0.05
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.5145299145299146,0.5,0.1
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.2222222222222222,1.0,0.01
0.9054054054054054,0.7547008547008547,0.625,0.5555555555555556,0.5882352941176471,0.22735042735042735,2.0,0.01
0.8918918918918919,0.747008547008547,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5196581196581197,0.5,scale
0.8918918918918919,0.747008547008547,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5196581196581197,0.5,auto
0.8918918918918919,0.747008547008547,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.5,0.01
0.9054054054054054,0.658974358974359,0.75,0.3333333333333333,0.46153846153846156,0.4376068376068376,5.0,0.05
0.9054054054054054,0.658974358974359,0.75,0.3333333333333333,0.46153846153846156,0.4205128205128206,5.0,0.1
0.8918918918918919,0.6512820512820513,0.6,0.3333333333333333,0.42857142857142855,0.5213675213675214,1.0,scale
0.8918918918918919,0.6512820512820513,0.6,0.3333333333333333,0.42857142857142855,0.5213675213675214,1.0,auto
0.8918918918918919,0.6512820512820513,0.6,0.3333333333333333,0.42857142857142855,0.3880341880341881,10.0,0.05
0.8918918918918919,0.6512820512820513,0.6,0.3333333333333333,0.42857142857142855,0.3521367521367522,10.0,0.1
0.8783783783783784,0.6435897435897436,0.5,0.3333333333333333,0.4,0.5196581196581197,1.0,0.1
0.8783783783783784,0.6435897435897436,0.5,0.3333333333333333,0.4,0.49914529914529915,2.0,scale
0.8783783783783784,0.6435897435897436,0.5,0.3333333333333333,0.4,0.49914529914529915,2.0,auto
0.8783783783783784,0.6435897435897436,0.5,0.3333333333333333,0.4,0.4974358974358975,2.0,0.05
0.8783783783783784,0.6435897435897436,0.5,0.3333333333333333,0.4,0.5230769230769231,2.0,0.1
0.7837837837837838,0.6854700854700855,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.0,0.1,0.01
0.8648648648648649,0.6358974358974359,0.42857142857142855,0.3333333333333333,0.375,0.4273504273504274,1.0,0.05
0.8513513513513513,0.6282051282051282,0.375,0.3333333333333333,0.35294117647058826,0.24615384615384617,5.0,0.01
0.8513513513513513,0.6282051282051282,0.375,0.3333333333333333,0.35294117647058826,0.12649572649572652,10.0,0.01
0.8783783783783784,0.5957264957264957,0.5,0.2222222222222222,0.3076923076923077,0.38974358974358975,5.0,scale
0.8783783783783784,0.5957264957264957,0.5,0.2222222222222222,0.3076923076923077,0.38974358974358975,5.0,auto
0.6351351351351351,0.6008547008547009,0.17857142857142858,0.5555555555555556,0.2702702702702703,0.0,0.1,0.5
0.8378378378378378,0.5247863247863248,0.2,0.1111111111111111,0.14285714285714285,0.4222222222222223,10.0,scale
0.8378378378378378,0.5247863247863248,0.2,0.1111111111111111,0.14285714285714285,0.4222222222222223,10.0,auto
0.8648648648648649,0.49230769230769234,0.0,0.0,0.0,0.49914529914529915,0.5,0.5
0.8648648648648649,0.49230769230769234,0.0,0.0,0.0,0.5401709401709403,5.0,0.5
0.8648648648648649,0.49230769230769234,0.0,0.0,0.0,0.5435897435897437,10.0,0.5
0.8513513513513513,0.4846153846153846,0.0,0.0,0.0,0.5111111111111111,2.0,0.5
0.8378378378378378,0.47692307692307695,0.0,0.0,0.0,0.4803418803418804,1.0,0.5
